mes,L1,L2,L3,L4,L5
jan/24,38598,5949,17153,10578,91793
fev/24,35609,6493,17483,9607,97165
mar/24,44014,5742,19240,9322,133910
abr/24,62179,5511,20335,10677,154069
mai/24,66803,5459,20930,9349,178270
jun/24,45623,6449,20841,18500,150310
jul/24,42228,5554,19620,9968,142750
ago/24,40729,5406,20768,9411,158985
set/24,48121,5712,21867,9385,99432
out/24,61314,6155,22308,9824,211853
nov/24,64039,5486,23282,9740,218881
dez/24,46479,6237,22901,9284,189173
jan/25,38896,11810,21903,9741,198209
fev/25,37912,11995,22056,9579,184559
mar/25,45418,11142,24569,9421,244359
abr/25,66312,11596,25189,10501,266495
mai/25,67726,12599,27152,10475,304511
jun/25,47385,11462,26087,9977,269143
jul/25,39899,12446,24339,9442,238757
ago/25,39702,11434,25347,10689,253379
set/25,47405,12392,26941,3900,295508
out/25,62744,12620,28812,10143,352234
nov/25,60880,11533,29418,10122,337399
dez/25,44726,12476,28560,10159,311783
